lesson | n. | 课,功课
climb | v. | 爬,攀登
finish | v. | 完成,结束
cinema | n. | 电影院,电影
twentieth | num. | 第二十
baby | n. | 婴儿,幼畜
back | n. | 背部,后面
place | n. | 地点,地方
twenty-first | num. | 第二十一
bank | n. | 银行；(海,河,湖的)岸,堤
theatre | n. | 剧场,戏院(美式拼写: theater)
toilet | n. | 厕所
museum | n. | 博物馆
front | adj. & n. | 前面(的),前部
in front of | phr. | 在...前面
left | n. & adj. | 左(的),左边(的)
right | n. & adj. | 右(的),右边(的)
side | n. | 边,面
on the left/right side | phr. | 在左(右)边
all the same | phr. | 仍然,还是
need | v. | 需要,必需
ask for | phr. | 请求,询问
along | prep. | 沿着,顺着一起,一道
road | n. | 道路,公路
turn | v. & n. | (使)转动,(使)翻动；(依次轮流的)顺序
turning | n. | 拐弯处
metre | n. | 公尺,米
kilometre | n. | 公里,千米
had better do | phr. | 最好(做...)
coin | n. | 硬币
keep | v. | 保持,留住
as | conj. | 按照,如同；因为,由于
moment | n. | 片刻,瞬间
tell | v. | 告述,讲述,吩咐；说,告述,吩咐
street | n. | 街道
next to | phr. | 相邻,靠近
around | prep. | 在...周围环绕着
lift | n. & v. | 电梯；(云,雾等)消散,(雨)停止
up and down | phr. | 上上下下,来来回回
busy | adj. | 忙的,繁忙的
team | n. | 队,组
centre | n. | 中心
popular | adj. | 大众的,流行的
quite | adv. | 很,十分
month | n. | 月
village | n. | 村庄,乡村
strong | adj. | 强壮的,坚强的
was | v. | be(am,is,are)的过去式
yesterday | n. & adv. | 昨天
November | n. | 十一月
ill | adj. | 病的
hope | v. | 希望
composition | n. | 作文作品
remember | v. | 记起,想起
were | v. | 动词be(are)的过去式
bit | n. | 一点儿,小片
a bit | phr. | 一点儿
healthy | adj. | 健康的,健壮的
grow up | phr. | 成长,长大
visit | v. | 参观,访问,拜访
ago | adv. | 以前
the day before yesterday | phr. | 前天
enjoy | v. | 喜欢,享受...乐趣
world | n. | 世界
at the same time | phr. | 同时
a moment ago | phr. | 刚才
just now | phr. | 不久以前,刚才
reply | n. & v. | 答复,回答
by the way | phr. | 顺便说,顺便问一下
match | n. | 比赛,竞赛
cold | adj. | 冷的,寒冷的
drive | v. | 驾驶
plan | n. | 计划
diary | n. | 日记
make telephone calls | phr. | 打电话
go out | phr. | 外出,到外面
India | n. | 印度
went | v. | 动词go的过去式
rain | v. | 下雨
rained | v. | 动词rain的过去式
memory | n. | 记忆力,存储器
pack | v. | 打包,打行李
everything | pron. | 每件事,每样东西, 一切
umbrella | n. | 伞,雨伞
dry | adj. | 干的,干燥的
newspaper | n. | 报纸
paper | n. | 纸,报纸
morning paper | n. | 晨报
at breakfast | phr. | 早餐时
say goodbye to | phr. | 告别,告辞
useful | adj. | 有用的,有益的
scientist | n. | 科学家
invent | v. | 发明,创造
all the time | phr. | 一直,始终,老是
always | adv. | 总是,一直,经常
everywhere | adv. | 到处,无论哪里
born | v. | (动词bear的过去分词)出生
be born | phr. | 出生于
May | n. | 五月
move | v. | 移动,搬动,搬家
understand | v. | 懂得,理解
so-so | adj. | (口语)不好不坏的,马马虎虎
at first | phr. | 起先,首先
luck | n. | 运气,好运
April | n. | 四月
hate | v. | 讨厌,不喜欢,憎恨
fly | v. | 飞,飞行,乘飞机旅行
painting | n. | 油画,水彩画
airport | n. | 航空站,飞机场
rock | n. | 摇动,摇滚乐
band | n. | 乐队
concert | n. | 音乐会,演奏会
give a concert | phr. | 开音乐会
tonight | adv. & n. | 今晚
singer | n. | 歌唱者,歌手
journalist | n. | 记者,新闻工作者
famous | adj. | 有名的,著名的
Sweden | n. | 瑞典
song | n. | 歌,歌曲,歌谣
more than | phr. | 多过,...以上,比…更
thousand | num. | 千
accident | n. | 事故,灾难
careless | adj. | 粗心的,大意的
fall down | phr. | 倒下,跌倒,从...落下
break | v. | 折断,断裂,破碎
go on | phr. | 继续
someone | pron. | 某人,有人
heart | n. | 心(脏)
past | n. & adj. | 过去(的)
end | n. & v. | 末端,终点,结束
at the end of | phr. | 在...结尾,到...尽头
happen | v. | (偶然)发生,碰巧
part | n. | 部分
tourist | n. | 旅游者,观光者
go back | phr. | 回去
in a hurry | phr. | 匆忙地
grape | n. | 葡萄
science | n. | (自然)科学
marry | v. | 结婚
get married | phr. | 结婚
subject | n. | 题目,题材
friendship | n. | 友谊,友情
anyone | pron. | 任何人
date | n. | 日期
season | n. | 季节
write down | phr. | 写下,记下
January | n. | 一月
March | n. | 三月
June | n. | 六月
July | n. | 七月
August | n. | 八月
December | n. | 十二月
spring | n. | 春天
weather | n. | 天气
warm | adj. | 暖和的,热情的
come out | phr. | (花)开,发(芽),出来
heavily | adv. | 大量地,猛烈地,厉害地
crop | n. | 庄稼,收成
really | adv. | 确实,真正地
snow | n. & v. | 雪,下雪
snowman | n. | 雪人
all the year round | phr. | 一年到头
true | adj. | 真的,真实的
nearly | adv. | 将近,几乎
unlike | prep. | 不像,和...不同
opposite | adj. | 对面的,相反的
sunny | adj. | 晴朗的,阳光充足的
cloud | n. | 云
cloudy | adj. | 多云的,阴天的
wet | adj. | 湿的
rainy | adj. | 多雨的,下雨的
wind | n. | 风
windy | adj. | 有风的,风大的
snowy | adj. | 多雪的,降雪的
later | adv. | 以后,后来
later on | phr. | 后来,稍后
ring | v. | (钟,铃等)响,摇铃
ring up | phr. | 打电话
west | n. & adj. | 西方、西部(的)
strange | adj. | 奇怪的,陌生的
radio | n. | 收音机
report | n. & v. | 报导,报告
north | n. & v. | 北方(的),北部(的)
south | n. & v. | 南方(的),南部(的)
at times | phr. | 有时,偶尔
temperature | n. | 温度
above | prep. | 在...上面
below | prep. | 在...下,低于
worse | adj. & adv. | ( bad,ill的比较级) 更坏,更差
low | adj. | 低的,浅,矮的
birthday | n. | 生日
invite | v. | 邀请,招待
film | n. | 影片,电影
hold | v. | 拿,握
hold on | phr. | (打电话时)等一等, 不挂断
message | n. | 消息,信息
take/leave a message | phr. | 捎/留口信
ready | adj. | 准备好的,乐意的
sandwich | n. | 三明治,夹心面包片
plate | n. | 盘子,碟子
candle | n. | 蜡烛
present | n. | 礼物
smile | n. & v. | 微笑
telephone | n. & v. | 电话,电话机(= phone)；打电话给(某人)
double | n. & adj. | 两倍(的),双倍(的)
but | prep. | 除了
take out | phr. | 取出
the same as | phr. | 和...相同
word | n. | 词,单词
shout | v. | 呼喊,喊叫
turn over | phr. | 把...翻过来
study | n. | 书房
less | adj. & adv. | ( little的比较级)较少的, 较小的
less than | phr. | 不到,少于
be late for | phr. | 迟到
beef | n. | 牛肉
help yourself to | phr. | 自取,随便吃
Christmas | n. | 圣诞节
during | prep. | 在...的期间
Spring Festival | n. | 春节
exam | n. | (口语)考试
get-together | n. | 聚会
put on | phr. | (戏剧等)上演,放(唱片等)
play | n. | 剧,戏剧
shower | n. | 降雨,骤雨
Rome | n. | 罗马(意大利首都)
Berlin | n. | 柏林
Moscow | n. | 莫斯科
kitchen | n. | 厨房
few | adj. | 少数的,不多的
a few | phr. | 一些,几个
salt | n. | 盐
sugar | n. | 糖
pepper | n. | 胡椒
oil | n. | 油
wine | n. | 酒
beer | n. | 啤酒
fork | n. | 叉,餐叉
spoon | n. | 匙,调羹
chopsticks | n. | (常用复数)筷子
cabbage | n. | 卷心菜,洋白菜
butter | n. | 黄油
cheese | n. | 乳酪
soup | n. | 汤
Italian | n. & adj. | 意大利人(的),意大利语(的)
pizza | n. | (意大利)烤馅饼
Indian | n. & adj. | 印度人(的),印第安人(的)
kinds of | phr. | 各种各样的
seem | v. | 好像,似乎
even | adv. | 甚至,更
Italy | n. | 意大利
chocolate | n. | 巧克力,巧克力糖
ice | n. | 冰
make | v. | 使...(发生)
both | adj. & pron. | 两个(人…)都
either | adv. | (用于否定句中)也(不)
either…or… | conj. | 或者...或者...
anything | pron. | 任何事(物)
neither | adj. & pron. | (两者)都不
nor | conj. | 也不
neither…nor | conj. | 既不...也不...
a bit of | phr. | 少量(的),一点
without | prep. | 无,没有,不
take a seat | phr. | 坐下,就坐
take-away | adj. & n. | 可拿走的(熟食)
madam | n. | 女士,夫人,小姐
menu | n. | (餐厅等的)菜单
order | n. & v. | 订购,点菜订购单,定购,一份菜
bill | n. | 帐单,清单,纸币
be famous for | phr. | 因...而有名的
kind | adj. | 和蔼的,友好的
lady | n. | 女士,夫人
ladies' room | n. | (妇女)公共厕所
library | n. | 图书馆
cross | n. | 十字形(物),十字记号；v. 穿过,越过
crossing | n. | 十字路口,交叉点
across | prep. | 穿过,横过
miss | v. | 错过
church | n. | 教堂,教会
video | n. | 录像
reach | v. | 到达,抵达,达到
corner | n. | 角落,(街道)拐角
on one's way to | phr. | 在..的途中
sick | adj. | 患病的
pocket | n. | 衣袋
still | adv. | 仍旧,更
weak | adj. | 弱的,差的
wait for | phr. | 等候
cut | v. | 割,砍,切
finger | n. | 手指
geography | n. | 地理(学)
physics | n. | 物理(学)
history | n. | 历史(学)
key | n. | 钥匙
fix | v. | 修理,安装
lab | n. | 实验室
suddenly | adv. | 突然地
DVD | n. | 光碟,影碟
in time | phr. | 及时
make one's way to | phr. | 往..走去
sign | n. | 标记,符号,痕迹
lost | adj. | 迷途的,丢失的
be/get lost | phr. | 迷失(道路)
just then | phr. | 正在那时
first of all | phr. | 首先,第一
main | adj. | 主要的
go wrong | phr. | 走错路
hit | v. | 打,击中,撞
noise | n. | 嘈杂声,响声
make a noise | phr. | 吵闹
passenger | n. | 乘客,旅客
get on | phr. | 上(车)
get off | phr. | 下来,从...下来
push | v. | 推,挤
stand in line | phr. | 站(在)队(里)
necessary | adj. | 必需的,必要的
waiting room | n. | 等候室,候诊(车,机)室
patient | n. | 病人
at the head of | phr. | 在...的最前
visitor | n. | 参观者,访问者
knee | n. | 膝盖
hurt | v. | 使受伤,痛
laugh at | phr. | 嘲笑
mistake | n. | 错误
quiet | adj. | 安静的,平静的
quietly | adv. | 安静地,平静地
reading room | n. | 阅览室
alone | adv. | 独自的,单独的
plastic | n. & adj. | 塑料(的)
throw about | phr. | 乱丢,抛散
change | v. | 变化,变更,改变
have a good time | phr. | 过得愉快
fact | n. | 事实,实际
in fact | phr. | 实际上
arrive | v. | 到达,抵达某地
complain | v. | 抱怨,发牢骚
surprise | n. | 惊奇,惊讶
police | n. | 警察(局)
voice | n. | 说话声,嗓音
themselves | pron. | 他们自己
care | v. & n. | 介意,在乎,关心；小心,照料,保护
half-way | adv. | 在途中,半路上
trouble | n. | 麻烦,烦恼
headache | n. | 头痛
have a headache | phr. | (患)头痛
cough | v. & n. | 咳嗽
have a cough | phr. | (患)咳嗽
terrible | adj. | 可怕的,感到极不舒服的
serious | adj. | 严重的,严肃
pain | n. | 疼痛,疼
dream | n. & v. | 梦,梦想做梦,向往
worst | adj. | 最坏的,最恶劣的
wake | v. | (使)醒来
wake up | phr. | 醒来,唤醒
as soon as | conj. | 一...就
asleep | adj. | 睡着的,熟睡的
fall asleep | phr. | 睡觉,入睡
plant | n. & v. | 植物种植
storm | n. | 暴风雨
stop…from | phr. | 阻止...做
difficult | adj. | 困难的,难的
pill | n. | 药丸,药片
awake | adj. | 清醒的
be awake | phr. | 醒着的
relax | v. | 放松,轻松
again and again | phr. | 再三地,一再地,反复地
angry | adj. | 发怒的,生气的
hard | adj. | 硬的
smell | v. | 闻,嗅,散发(气味)
rich | adj. | 有钱的,富裕的,丰富的
become | v. | 变得,变成,成为
instead | adv. | 代替,顶替
instead of | phr. | 代替
look over | phr. | (仔细)检查
enough | adj. | 足够的,充分的
take exercise | phr. | 做运动
fat | adj. | 肥胖的
thin | adj. | 瘦的,薄的
island | n. | 岛,岛状物
farther | adj. & adv. | (far的比较级)较远, 更远
somewhere | adv. | 某处,在某处
pull | v. | 拉,拖,拔
out of | prep. | 从..向外,从..往外
cool | adj. | 凉快的
anybody | pron. | 任何人
ourselves | pron. | 我们自己
perhaps | adv. | 也许,可能
lots of | phr. | 许许多多的
no longer | phr. | 不再
missing | adj. | 丢失的,失踪的
cry | v. | 哭,叫喊
get back | phr. | 回来,取回
too…to | phr. | 太...而不能
anywhere | adv. | 任何地方
solve | v. | 解决,解答
believe | v. | 相信,认为
everybody | pron. | 每人,人人
drop | n. & v. | 滴,水滴掉下,落下
run away | phr. | 逃跑
eat up | phr. | 吃完,吃光
circle | n. | 圈子,圆
yet | adv. | (用于否定句)还(没)
myself | pron. | 我自己
cousin | n. | 堂(表)兄弟,堂(表)姐妹
engineer | n. | 工程师
cancer | n. | 癌症
take care of | phr. | 照顾,照料,注意
sad | adj. | 难过的,悲哀的
death | n. | 死,死亡
page | n. | (书的)页
palace | n. | 宫,宫殿
the Summer Palace | n. | 颐和园
herself | pron. | 她自己
turn on | phr. | 打开(电灯,收音机,煤气,自来水)
while | n. & conj. | 一会儿；当..时候,和..同时
after a while | phr. | 过了一会儿
turn off | phr. | 关(电灯,收音机,煤气, 自来水等)
any more | phr. | 再,更
make faces | phr. | 做鬼脸,做苦脸
whole | adj. | 全部的
wonderful | adj. | 极好的,精彩的
have a cold | phr. | (患)感冒
once | adv. | 曾经,以前
himself | pron. | 他自己
tooth | n. | 牙齿
kill | v. | 杀死,弄死
fall off | phr. | (从...)掉下
clever | adj. | 聪明的,机灵的
yourselves | pron. | 你们自己
find out | phr. | 找出,查出
piano | n. | 钢琴
poor | adj. | 贫穷的,可怜的
afford | v. | 有足够的(钱/时间)做(某事)
knock | v. | 敲,击
knock at | phr. | 敲(门,窗等)
pardon | v. | 原谅(某人),宽恕
to one's surprise | phr. | 令(某人)惊讶
blind | adj. | 瞎的,盲的
shine | v. | 照亮,发亮
bright | adj. | 明亮的,晴朗的
through | prep. | 通过,穿过,经过
look up | phr. | 向上看,抬头看
come along come along | phr. | 来,随同
return | v. | 回来,归还
cookie | n. | 小甜饼
leave…behind | phr. | 把...遗留在(留下)
hold a sports meeting | phr. | 举行运动会
race | n. | 赛跑
100-metre race | phr. | 100米赛跑
win | v. | 获胜,赢
high jump | n. | 跳高
long jump | n. | 跳远
neck | n. | 颈,脖子
active | adj. | 积极的
take an active part in | phr. | 积极参加
starting/finishing line | phr. | 起点/终点线
loud | adj. | 大声的,响亮的
pass on | phr. | 传递,转移到...
stick | n. | 棒,棍
catch up with | phr. | 赶上
neck and neck | phr. | (竞赛等)并驾齐驱
as…as | conj. | 与...一样
a moment later | phr. | 片刻之后
go on doing sth | phr. | 继续做(某事)
fall behind | phr. | 落在...后面,输给别人
winner | n. | 获胜者
well done | phr. | 做得好
congratulation | n. | (常用复数)祝贺,庆贺
not as/so…as | conj. | 与...不一样
rather | adv. | 相当
result | n. | 结果
dance | v. | 跳舞
take turns | phr. | 轮流
do one's best | phr. | 尽最大努力,尽力
person | n. | 人
speed | n. | 迅速,速度
thought | n. | 思考,思想,想法
technology | n. | 技术,工艺学
interested | adj. | 感兴趣的
be interested in | phr. | 对..感兴趣
Washington | n. | 华盛顿
future | n. | 将来,未来
in the future | phr. | 将来
large | adj. | 大的,(数量)多的
spend | v. | 花(时间,钱),度过
unusual | adj. | 不寻常的,非凡的
in the end | phr. | 最后
work out | phr. | 算出,制定出
software | n. | (电脑)软件
program | n. | 程序,项目,节目(英式拼写: programme)
university | n. | 综合性大学
develop | v. | 发展,研制,开发
BASIC | n. | (电脑)初学者通用符号指令码
tool | n. | 工具
personal | adj. | 私人的,个人的
improve | v. | 提高,改善
golf | n. | 高尔夫球
bridge | n. | 桥牌
pleased | adj. | 高兴的,愉快的
T-shirt | n. | 短袖无领汗杉,T恤(杉)
disease | n. | 疾病
million | n. | 百万,百万元
decide | v. | 决定,决心
billion | n. | 十亿
lucky | adj. | 幸运的,侥幸的
size | n. | 尺寸,大小
almost | adv. | 几乎,差不多
speaker | n. | 演讲者,说话者
joke | n. | 笑话,玩笑
play a joke on | phr. | 戏弄人,对某人恶作剧
lose | v. | 丢失,失去,迷失(方向)
hide | v. | 躲藏
check | v. | 检查,核对
lie | v. | 躺,平躺
deaf | adj. | 聋的
get on well with | phr. | 与...相处融洽
neighbour | n. | 邻居
ever | adv. | 曾经
take off | phr. | 脱下(衣,帽,鞋等)
boot | n. | 长统鞋
be angry with | phr. | 对(某人)发脾气
usual | adj. | 通常的,平常的
as usual | phr. | 像平常一样
PE | n. | 体育
chemistry | n. | 化学
sweep | v. | 扫,扫地
choose | v. | 选择,挑选
truck | n. | 卡车
biology | n. | 生物(学)
be fed up with | phr. | 厌倦
knock on | phr. | 敲(门,窗等)
refuse | v. | 拒绝
pair | n. | 一对,一双
a pair of | phr. | 一对,一双
scissors | n. | (复数)剪刀
review | v. | 复习(功课等)
Russian | n. & adj. | 俄国的,俄国人(的), 俄语(的)
novel | n. | (长篇)小说
wallet | n. | 钱夹,皮夹
ground | n. | 地面,土地
cause | v. | 引起
mention | v. | 提到,说起
imagine | v. | 设想,想像
repair | v. | 修理,修补
at once | phr. | 立刻,马上
mouth-to-mouth | adj. | (人工呼吸)口对口的
breathe | v. | 呼吸
hard-working | adj. | 辛勤工作的,用功的
art | n. | 艺术,艺术品
at the moment | phr. | 此刻
set | v. | 使开始,安置
set off | phr. | 出发,动身,起初
pleasant | adj. | 愉快的,快乐的
here and there | phr. | 到处,处处
on watch | phr. | 值班,守望
look out | phr. | 留神,注意
in front | phr. | 前方,正对面
hole | n. | 洞,孔,坑
sink | v. | 下沉,沉没
life | n. | 生命,生活
make room for | phr. | 给..腾出地方
take one's place | phr. | 坐某人的座位,代替某人的职位
Boston | n. | 波士顿(美国马萨诸塞州的首府)
war | n. | 战争
information | n. | 信息,情报
penguin | n. | 企鹅
pink | adj. | 粉红色的,桃红色的
lay | v. | 下蛋,产蛋
pretty | adj. | 漂亮的,美丽的
rub | v. | 磨,擦
human | n. & adj. | 人(的),人类(的)
