CD player | phr. | 激光唱机
live on | phr. | 继续存在，继续活着
relative | n. | 亲属，亲人
greet | v. | 问候，向(人)打招呼
hug | n. | 拥抱，紧抱
western | adj. | 西方的，西部的
traditional | adj. | 传统的，惯例的
once upon a time | phr. | 从前，很早以前
special | adj. | 特别的，特殊的
at last | phr. | 终于，最后
owner | n. | 拥有者，所有者
give birth to | phr. | 生(孩子)
be made in | phr. | 在…生产或制造
be made of | phr. | 由…组成，由…构成
brush | n. | 刷子，毛笔，画笔
writing brush | n. | 毛笔
bamboo | n. | 竹子
be used for | phr. | 用于
pan | n. | 平底锅
jacket | n. | 夹克衫
metal | n. | 金属
stamp | n. | 邮票
wood | n. | 木头，木材
lock | n. & v. | 锁；上锁
store | v. | 储藏，存储
widely | adv. | 广泛地，广阔地
Britain | n. | 英国，不列颠
set | n. | 装置，设备
a TV set | phr. | 一台电视
Germany | n. | 德国
cotton | n. | 棉花
silk | n. | (蚕)丝
camera | n. | 照相机
digital | adj. | 数字似的
ordinary | adj. | 普通的，通常的
satellite | n. | 卫星
rocket | n. | 火箭
on show | phr. | 展出
dinosaur | n. | 恐龙
display | n. | 陈列
on display | phr. | 陈列，展览
natural | adj. | 自然界的，天然的
guide | n. & v. | 向导，导游者；指导，引导
underground | adj. | 地下的
desert | n. | 沙漠
human being | n. | 人
disappear | v. | 消失
discover | v. | 发现，发觉
found | v. | 成立，建立
entrance | n. | 入口，进口，入场
park | v. | (将车)停放
parking | n. | 停车(处)
danger | n. | 危险
pause | v. & n. | 中止，暂停
bowl | n. | 碗
serve | v. | 上(酒、菜等)，开(饭)；服务
fill | v. | 装满，填充
be filled with | phr. | 用…充满
object | n. | 物体
dig | v. | 挖，掘
make sure | phr. | 确保,确认,查明
so that | conj. | 以便，以致
hear of | phr. | 听说
run away | phr. | 流失,逃跑，逃走
drop | n. | 滴，水滴
soil | n. | 土壤，土地
directly | adv. | 直接地
leaf | n. | 叶子，树木、草的叶子
in this way | phr. | 用这种方法
flood | n. & v. | 洪水，水灾；淹没，泛滥
prevent | v. | 防止，阻止
northern | adj. | 北部的，北方的
wide | adj. | 宽的
blow | v. | 吹(过去式 blew)
sand | n. | 沙，沙子
towards | prep. | 向，朝
point | v. | 指，指向…
point to | phr. | 指向…
far away | phr. | 很远，遥远
thanks to | phr. | 由于，幸亏
the more the better | phr. | 越多越好
correct | adj. | 改正
hand in | phr. | 交上来
more or less | phr. | 多少有点，或多或少
grand | adj. | 豪华的，庄重的，雄伟的
hall | n. | 大厅，会堂，会馆
notice | n. & v. | 通告，布告；注意，通知
audience | n. | 听众
height | n. | 高度
document | n. | 公文，文件
connect | v. | 连接，相连，联系
provide | v. | 提供
monitor | n. | 显示器
point at | phr. | 指示，指向
universe | n. | 宇宙
man-made | adj. | 人造的，人工的
space | n. | 空间，太空
send | v. | 送，寄，派(遣)
send up | phr. | 发射，把…往上送
receive | v. | 接受，收到，得到
shut | v. | 关(门等)
shut down | phr. | 把…关上
impossible | adj. | 不可能的
mind | n. & v. | 思想，想法；关心，介意
set one's mind to do | phr. | 一心想做…
put off | phr. | 推迟，拖延
activity | n. | 活动
increase | v. | 增加，增长
if | conj. | 是否
hour after hour | phr. | 一小时又一小时, 连续地
challenge | n. | 挑战
beginning | n. | 开始，开端
at the beginning of | phr. | 起初，开始
square | n. | 平方，(方形的)广场
hardly | adv. | 几乎不
more and more | phr. | 越来越…
prefer | v. | 宁愿(选择)，更喜欢
prefer to | phr. | 宁愿(选择)，更喜欢
rather than | phr. | 宁可,是..而不是
used | adj. | 用过的，半旧的
discussion | n. | 讨论
be busy doing | phr. | 忙于做…
chart | n. | 图表
download | v. | 下载
path | n. | 路线，去路
Brazil | n. | 巴西
excited | adj. | 兴奋的，激动的
be excited about | phr. | 对…感到兴奋
leather | n. | 皮革
wear out | phr. | 把…穿旧，磨坏
try on | phr. | 试穿(衣服,鞋),试戴(帽子)
online | adj. & adv. | 在线，上网
ad | n. | 广告
shape | n. | 形状，外形
decision | n. | 决定
make a decision | phr. | 作出决定
form | n. | 表格
credit | n. | 信用
credit card | n. | 信用卡
successfully | adv. | 圆满地,顺利地,成功地
interest | n. | 兴趣
a place of interest | phr. | 名胜
forever | adv. | 永远，总是
lend | v. | 把…借给，借给(过去式 lent)
go over | phr. | 过一遍，仔细检查
make a mistake | phr. | 犯错误
suit | n. | 一套衣服
drop off | phr. | 放下(某物)，下车
opera | n. | 歌剧
the Great Hall of the people | n. | 人民大会堂
huge | adj. | 巨大的
the Palace Museum | n. | 故宫博物院
rewarding | adj. | 值得作的
grateful | adj. | 感激的，感谢的
tail | n. | 尾巴，尾部
lonely | adj. | 孤独的，寂寞的
success | n. | 成就，成功
Scotland | n. | 苏格兰
make up one's mind | phr. | 下决心
mostly | adv. | 主要地，大部分
pig | n. | 猪
education | n. | 教育，培养
countryside | n. | 乡下，农村
treat | v. | 治疗，对待
before long | phr. | 不久以后
regard | v. | 看待，当作
regard… as | phr. | 把…当作，当作
exactly | adv. | 准确地，严格地
keep | v. | 饲养，照顾
experience | n. | 经验，体验
earthquake | n. | 地震
rock | v. | 震动，摇动
as if | conj. | 好像,似乎
at sea | phr. | 在大海上
story | n. | (房屋的)层
two-story | n. | 两层
grab | v. | 抓取…，夺取
crash | v. | 坠落，冲撞
mobile | adj. | 可移动的
mobile phone | n. | 可移动电话
at all | phr. | (用否定句)一点也不
at least | phr. | 至少，起码
beat | v. | 打败，敲打
goal | n. | (足球)球门，得分
by the time | phr. | 到…的时候
check-out | n. | (购货时的)结帐台, 收银台
realize | v. | 察觉，领悟，了解
train | v. | 训练，培养
training | n. | 训练，培养
captain | n. | (足球队等)队长
deserve | v. | 应得，值得…
confident | adj. | 有自信的，确信的
excellent | adj. | 极好的，优秀的
nervous | adj. | 紧张不安的
lazy | adj. | 懒惰的
carry on | phr. | 坚持下去，继续下去
final | adj. | 最后的
amazing | adj. | 令人惊奇的
be pleased with | phr. | 对…感到满意
performance | n. | 演出，成果，成绩
teamwork | n. | 合作，协同工作
baseball | n. | 棒球
never mind | phr. | 没关系
boring | adj. | 令人厌烦的
from now on | phr. | 从现在起，今后
rule | n. | 规则，规定
against | prep. | 与…对抗，对着
expect | v. | 期望，预期
rough | adj. | 粗鲁的，激烈的
steal | v. | 偷，窃取(过去式 stole)
hands up | phr. | 举手
shoot | v. | 射击，射死(过去式 shot)
detective | n. | 侦探
inspector | n. | 警官，监督员
come down | phr. | 下来，落
escape | n. & v. | 逃亡，逃走，逃避
victim | n. | 受害者，受骗者
conversation | n. | 会话，谈话
description | n. | 描述，描写
excuse | n. | 借口，托词
British | adj. | 英国人的
club | n. | 俱乐部，社团
expert | n. | 专家，内行
tent | n. | 帐篷
freeze | v. | 结冰，凝结
alive | adj. | 活着的
progress | v. | 进步，提高，前进
self-respect | n. | 自尊，自重
essential | adj. | 本质的，主要的，必需的
